"ID","City","Type","Make","Model","Year","Color","Trim","CreatedAt","Days","Trips","T/D","$day","Busy30","Gross30","Gross365","Plan","Favs","Reviews","StarHost","URL","Features","Avg Market $*","Depreciation Y1*","Insurance Y*","Maintenance Y*","Avg Repairs Y*"
"2163983","Dorval, QC","TRUCK","Ram","1500","2022","","TRX","8/7/2023","11","0","0.00","438","0","0","0","Turo Standard","2","0","false","https://turo.com/ca/en/truck-rental/canada/dorval-qc/ram/1500/2163983","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Sunroof, USB charger","88635","5503","2511","1334","507"
"1580660","Montreal, QC","TRUCK","Ram","1500 Classic","2019","OTHER","Express","7/5/2022","409","7","0.02","229","4","916","2097","Turo Standard","14","6","true","https://turo.com/ca/en/truck-rental/canada/montreal-qc/ram/1500-classic/1580660","All-wheel drive, Android Auto, Apple CarPlay, Backup camera, Bluetooth, GPS, Long-term car, Snow tires or chains, USB charger, USB input","28599","3216","2150","1416","789"
"2065027","Montréal, QC","TRUCK","Ram","1500 Classic","2021","GRAY","Express","6/6/2023","73","5","0.07","150","13","1899","3589","Turo Standard","9","5","false","https://turo.com/ca/en/truck-rental/canada/montreal-qc/ram/1500-classic/2065027","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Bluetooth, Child seat, GPS, Heated seats, Snow tires or chains, USB charger, USB input","30747","3235","2261","1130","519"
"2118929","Montréal, QC","CAR","BMW","2 Series","2016","","228i xDrive","7/10/2023","39","0","0.00","150","1","107","535","Turo Standard","9","0","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/bmw/2-series/2118929","All-wheel drive, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Ski rack, Sunroof, USB charger, USB input","18883","2410","1971","1605","1028"
"1734268","Longueuil, QC","CAR","Chrysler","200","2015","","Limited","10/7/2022","315","19","0.06","99","14","1224","3265","Turo Standard","18","16","true","https://turo.com/ca/en/car-rental/canada/longueuil-qc/chrysler/200/1734268","","10087","1695","1857","1509","1029"
"1543514","Montréal, QC","CAR","BMW","3 Series","2013","BLACK","320i xDrive","6/13/2022","431","75","0.17","95","15","1290","8041","Turo Standard","172","64","true","https://turo.com/ca/en/car-rental/canada/montreal-qc/bmw/3-series/1543514","All-wheel drive, Heated seats, Keyless entry, Long-term car, Sunroof","11596","1712","1797","1582","1033"
"1204401","Montréal, QC","CAR","BMW","3 Series","2020","WHITE","330i xDrive","10/2/2021","685","52","0.08","128","13","1651","12394","Turo Standard","307","41","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/bmw/3-series/1204401","All-wheel drive, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, Heated seats, Snow tires or chains, Sunroof, USB charger, USB input","31706","3222","2200","1285","665"
"2061324","Longueuil, QC","CAR","BMW","3 Series","2018","WHITE","","6/3/2023","76","5","0.07","155","2","310","715","Turo Standard","32","3","false","https://turo.com/ca/en/car-rental/canada/longueuil-qc/bmw/3-series/2061324","Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Long-term car, USB charger, USB input","22770","2651","2068","1445","859"
"2053731","Montréal, QC","CAR","BMW","3 Series","2023","","330i xDrive","5/29/2023","81","2","0.02","300","0","0","0","Turo Standard","24","1","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/bmw/3-series/2053731","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Snow tires or chains, Sunroof, USB charger, USB input","50159","","","",""
"2009118","Chambly, QC","CAR","BMW","3 Series","2018","SILVER","330i xDrive","4/30/2023","110","1","0.01","131","3","393","393","Turo Standard","19","1","false","https://turo.com/ca/en/car-rental/canada/chambly-qc/bmw/3-series/2009118","","23506","2722","2073","1458","864"
